id	subject	topic_code	topic_name	question	optionA	optionB	optionC	optionD	answer	explanation	difficulty	tags
L11201-Q001	L11	L11201	資料基本概念與來源	資料可以分為結構化與？	高解析	非結構化	HDR	超分辨	B	選項「非結構化」最符合題意，因此為正確答案。	1	"[""Data"", ""資料可""]"
L11201-Q002	L11	L11201	資料基本概念與來源	常見資料來源不含？	企業內部系統	政府開放數據	噪聲產生器	IoT 感測器	C	選項「噪聲產生器」最符合題意，因此為正確答案。	1	"[""Data"", ""常見資""]"
L11201-Q003	L11	L11201	資料基本概念與來源	CSV 檔案常用分隔符號？	|	","	;	#	B	"選項「,」最符合題意，因此為正確答案。"	1	"[""Data"", ""CSV""]"
L11201-Q004	L11	L11201	資料基本概念與來源	關係式資料庫特徵？	僅鍵值	無結構	僅存影像	使用表格及 SQL	D	選項「使用表格及 SQL」最符合題意，因此為正確答案。	1	"[""Data"", ""關係式""]"
L11201-Q005	L11	L11201	資料基本概念與來源	API 取得資料常見傳輸格式？	JSON	BMP	MP4	DOCX	A	選項「JSON」最符合題意，因此為正確答案。	1	"[""Data"", ""API""]"
L11201-Q006	L11	L11201	資料基本概念與來源	網路爬蟲應遵守？	HDR	robots.txt	BLEU	FPS	B	選項「robots.txt」最符合題意，因此為正確答案。	1	"[""Data"", ""網路爬""]"
L11201-Q007	L11	L11201	資料基本概念與來源	IoT 資料通常屬於？	向量場	高彩度	8K 影像	時間序列	D	選項「時間序列」最符合題意，因此為正確答案。	1	"[""Data"", ""IoT""]"
L11201-Q008	L11	L11201	資料基本概念與來源	Open Data 優點？	僅限內網	必須付費	不可下載	免費且可重複使用	D	選項「免費且可重複使用」最符合題意，因此為正確答案。	1	"[""Data"", ""Ope""]"
L11201-Q009	L11	L11201	資料基本概念與來源	資料生命週期第一步？	分析	收集 (Collect)	視覺化	部署	B	選項「收集 (Collect)」最符合題意，因此為正確答案。	1	"[""Data"", ""資料生""]"
L11201-Q010	L11	L11201	資料基本概念與來源	資料質量維度之一？	完整性	亮度	對比度	色溫	A	選項「完整性」最符合題意，因此為正確答案。	1	"[""Data"", ""資料質""]"
L11201-Q011	L11	L11201	資料基本概念與來源	文件資料 (PDF) 通常屬於？	結構化	半結構化	流資料	聲音資料	B	選項「半結構化」最符合題意，因此為正確答案。	1	"[""Data"", ""文件資""]"
